country,population,percent_world,date,source
Poland,37376000,0.5,2025-09-30,Monthly national estimate[51]
Morocco,36828330,0.4,2024-09-01,2024 census result[52]
Angola,36604681,0.4,2024-09-19,2024 census result[53]
Saudi Arabia,35300280,0.4,2024-07-01,Official estimate[54]
Peru,34350244,0.4,2025-07-01,National annual projection[55]
Malaysia,34281100,0.4,2025-09-30,National quarterly estimate[56]
Mozambique,34090466,0.4,2025-07-01,National annual projection[57]
Ghana,33742380,0.4,2025-07-01,National annual projection[58]
Ukraine,32862000,0.4,2025-04-01,IMF estimate[59]
Yemen,32684503,0.4,2023-07-01,Official estimate[60]
Madagascar,31727042,0.4,2025-07-01,National annual projection[61]
Ivory Coast,31719275,0.4,2024-12-31,National annual projection[62]
Nepal,29911840,0.4,,National annual projection[63]
Cameroon,29442327,0.4,2025-07-01,National annual projection[64]
Venezuela,28517000,0.3,2025-07-01,UN projection[65]
Australia,27536874,0.3,2025-03-31,Official projection[66]
Niger,26312034,0.3,2024-07-01,National annual projection[67]
Syria,26019711,0.3,2025-07-01,Monthly estimate[68]
North Korea,25950000,0.3,2024-07-01,National annual projection[69]
Burkina Faso,24070553,0.3,2025-07-01,Official projection[70]
Taiwan,23317031,0.3,2025-09-30,Official estimate[71]
Mali,22395489,0.3,2022-06-15,2022 census result[72]
Sri Lanka,21763170,0.3,2024-12-19,Preliminary census result[73]
Malawi,20734262,0.3,2025-07-01,National annual projection[74]
Kazakhstan,20464077,0.2,2025-11-01,Official estimate[75]
Chile,20206953,0.2,2025-06-30,National annual projection[76]
Zambia,19693423,0.2,2022-09-08,2022 census result[77]
Somalia,19655000,0.2,2025-07-01,UN projection[78]
Chad,19340757,0.2,2025-07-01,National annual projection[79]
Romania,19036031,0.2,2025-01-01,Official estimate[80]
Senegal,18593258,0.2,2024-07-01,National annual projection[81]
Netherlands,18130662,0.2,2025-10-31,Official estimate[82]
Ecuador,18103660,0.2,2025-07-01,National annual projection[83]
Guatemala,18079810,0.2,2025-07-01,National annual projection[84]
Cambodia,17577760,0.2,2025-07-01,Official projection[85]
Zimbabwe,17073087,0.2,2025-07-01,Official projection[86]
South Sudan,15786898,0.2,2025-07-01,National annual projection[87]
Guinea,14363931,0.2,2025-07-01,National annual projection[88]
Rwanda,14104969,0.2,2025-07-01,National annual projection[89]
Benin,13224860,0.2,2025-07-01,National annual projection[90]
Burundi,12332788,0.2,2024-08-16,Preliminary census result[91]
Tunisia,11972169,0.1,2024-11-06,2024 census result[92]
Belgium,11917402,0.1,2025-10-01,Official estimate[93]
Haiti,11867032,0.1,2024-07-01,National annual projection[94]
Jordan,11734000,0.1,2024-12-31,National estimate[95]
Bolivia,11365333,0.1,2024-03-23,2024 census result[96]
United Arab Emirates,11294243,0.1,2024-12-31,Official estimate[97]
Czech Republic,10882341,0.1,2025-06-30,Official estimate[98]
Dominican Republic,10771504,0.1,2022-11-10,2022 census result[99]
Portugal,10749635,0.1,2024-12-31,Official estimate[100]
Sweden,10610485,0.1,2025-10-31,Monthly national estimate[101]
Tajikistan,10499000,0.1,2025-01-01,Official estimate[102]
Greece,10400720,0.1,2024-01-01,Official estimate[103]
Azerbaijan,10253647,0.1,2025-10-01,Monthly national estimate[104]
Papua New Guinea,10185363,0.1,2024-06-16,2024 census result[105]
Israel,10147200,0.1,2025-09-30,Monthly national estimate[106]
Honduras,9892632,0.1,2024-07-01,National annual projection[107]
Cuba,9748007,0.1,2024-12-31,Official estimate[108]
